No Cliente,No Cuenta,Nombre Comercial,Razón Social,Monto de Crédito,Días de Crédito,Email,Sucursal,Método de Pago,Términos de Pago,Lista de Precios,RFC,Teléfonos,CP,Municipio,Colonia,No Ext,No Interior,Estado,Localidad,Calle,EntreCalle1,EntreCalle2,Descuento Pactado,Fuente,Vendedor,Notas,Uso CFDI
1335,,DISTRIBUIDORA VECO,DISTRIBUIDORA VECO,0.00,30,d.veco86@gmail.com,Matriz,Efectivo,,A,DVE801126PW5,,36690,Irapuato,LA MODERNA,846,,Guanajuato,"Irapuato,",ANDRES LOPEZ,,,,,,,G01
1003,,SECRETARIA DE SEGURIDAD PUBLICA,SECRETARIA DE SEGURIDAD PUBLICA,0.00,0,presupuestossp@guanajuato.gob.mx,Matriz,Efectivo,,A,GEG850101FQ2,,36554,Irapuato,C,C,,Guanajuato,IRAPUATO,C,,,,,,,G01
1323,,CAISA ZAKIA,"CAISA ZAKIA, SOLUCIONES A LA ORDEN Y PROYECTOS INDUSTRIALES",0.00,0,,Matriz,Efectivo,,A,XAXX010101000,,.,Celaya,.,.,.,Guanajuato,.,.,,,,,,,G01
1321,,CECYTEG CUERAMARO,CECYTEG CUERAMARO,0.00,0,,Matriz,Efectivo,,A,XAXX010101000,,.,Cuerámaro,.,.,.,Guanajuato,Cueramaro,.,,,,,,,G01
1314,,CAISES JUAREZ,CAISES JUAREZ,0.00,0,financieros.jurisvi@gmail.com;maltoledov@guanajuato.gob.mx,Matriz,Efectivo,,A,XAXX010101000,,,,,,,Aguascalientes,,,,,,,,,G01
1334,,PEDRO LUNA CARDENAS,PEDRO LUNA CARDENAS,0.00,30,proyectos_idc@hotmail.com,Matriz,Efectivo,,A,LUCP660223ML6,,36877,Salamanca,CARDENAS,143,,Guanajuato,Salamanca,REVOLUCION,,,,,,,G01
1337,,SISTEMAS ESPECIALIZADOS EN COPIADORAS DIGITALES DE IRAPUATO,SISTEMAS ESPECIALIZADOS EN COPIADORAS DIGITALES DE IRAPUATO,0.00,10,liz.marvic@hotmail.com,Matriz,Efectivo,,A,SEC011030272,,36660,,LAS REYNAS,1141,,Aguascalientes,Irapuato,EJERCITO NACIONAL,,,,,,,G01
1361,,HUGO FLORES SERRANO,HUGO FLORES SERRANO,0.00,0,,Matriz,Efectivo,,A,FOSH641115NHA,,76137,Querétaro,HUERTAS LA JOYA,156,,Querétaro,QUERETARO,LA QUEBRADA,,,,,,,G01
1326,,CECYTEG VILLAS DE BERNALEJO,CECYTEG VILLAS DE BERNALEJO,0.00,0,,Matriz,Efectivo,,A,XAXX010101000,,.,Irapuato,.,.,.,Guanajuato,.,VILLAS DE BERNALEJO,,,,,,,G01
1311,,HOSPITAL MANUEL DOBLADO,HOSPITAL MANUEL DOBLADO,0.00,0,,Matriz,Efectivo,,A,XAXX010101000,,,,,,,Aguascalientes,,,,,,,,,G01
