Numero,Proveedor,Almacen,Fecha,Estatus,Moneda,TipoCambio,Solicitados,Recibidos,Pendientes,DiasDeCredito,ElaboradoPor,Comentarios,Subtotal,IVA,Total,SubtotalMXN,IVAMXN,TotalMXN
3327,CENPLA,Matriz,07/11/2025,Aprobada,MXN,1.000000,50.000000,0.000000,50.000000,0,Josefina Nava ,234047(3),1379.5,220.72,1600.22,1379.500000,220.720000,1600.220000
3326,BOTELLO ,Matriz,07/11/2025,Aprobada,MXN,1.000000,100.000000,0.000000,100.000000,0,Josefina Nava ,234047(2),761.21,121.79,883,761.210000,121.790000,883.000000
3325,KABLA COMERCIAL,Matriz,07/11/2025,Aprobada,MXN,1.000000,51.000000,0.000000,51.000000,0,Josefina Nava ,,2738,438.08,3176.08,2738.000000,438.080000,3176.080000
3324,BOTELLO ,Matriz,07/11/2025,Aprobada,MXN,1.000000,173.000000,0.000000,173.000000,0,Daniel Alejandro Calderon Hernández,,1081.69,173.07,1254.76,1081.690000,173.070000,1254.760000
3323,VIRESA,Matriz,07/11/2025,Aprobada,MXN,1.000000,96.000000,0.000000,96.000000,30,Josefina Nava ,"231125(3,4 QUEDO PENDIENTE UNA CAJA DE CADA PARTIDA)",4899.84,783.97,5683.81,4899.840000,783.970000,5683.810000
3322,AROMATICOS Y QUIMICOS DEL CENTRO,Matriz,07/11/2025,Surtida,MXN,1.000000,10.000000,10.000000,0.000000,0,Daniel Alejandro Calderon Hernández,,2729.54,436.73,3166.27,2729.540000,436.730000,3166.270000
3321,ZAOLI,Matriz,07/11/2025,Aprobada,MXN,1.000000,221.000000,0.000000,221.000000,30,Carmen Irianda ,,4194,671.04,4865.04,4194.000000,671.040000,4865.040000
3320,MARIA VERONICA DOMINGUEZ LOPEZ (LIMPIADORES),Matriz,06/11/2025,Aprobada,MXN,1.000000,21.000000,0.000000,21.000000,0,Daniel Alejandro Calderon Hernández,,6177.7,988.43,7166.13,6177.700000,988.430000,7166.130000
3319,AROMATICOS Y QUIMICOS DEL CENTRO,Matriz,06/11/2025,Aprobada,MXN,1.000000,70.000000,0.000000,70.000000,0,Carmen Irianda ,,5558.88,889.42,6448.3,5558.880000,889.420000,6448.300000
3318,MARIA VERONICA DOMINGUEZ LOPEZ (LIMPIADORES),Matriz,06/11/2025,Aprobada,MXN,1.000000,20.000000,0.000000,20.000000,0,Daniel Alejandro Calderon Hernández,,5792,926.72,6718.72,5792.000000,926.720000,6718.720000
3317,GET GREEN DE MEXICO S DE RL DE CV,Matriz,06/11/2025,Aprobada,MXN,1.000000,1.000000,0.000000,1.000000,0,Carmen Irianda ,DAVID IRIANDA,3353.45,536.55,3890,3353.450000,536.550000,3890.000000
3316,MARIA VERONICA DOMINGUEZ LOPEZ (LIMPIADORES),Matriz,06/11/2025,Aprobada,MXN,1.000000,63.000000,0.000000,63.000000,0,Daniel Alejandro Calderon Hernández,,16270.68,2603.31,18873.99,16270.680000,2603.310000,18873.990000
3315,FANASA,Matriz,06/11/2025,Aprobada,MXN,1.000000,4.000000,0.000000,4.000000,0,Josefina Nava ,234268,1008,161.28,1169.28,1008.000000,161.280000,1169.280000
3314,JARCERIA RAMIREZ,Matriz,05/11/2025,Surtida,MXN,1.000000,187.000000,187.000000,0.000000,0,Carmen Irianda ,,3538.24,566.12,4104.36,3538.240000,566.120000,4104.360000
