Categoria,Numero,RazonSocial,NombreComercial,RFC,Sucursal,Telefonos,Banco,Cuenta_CLABE,DiasDeCredito,MontoCredito,Comentarios,Email,Calle,NoExt,IntExt,Colonia,Localidad,CP,Ciudad,Estado,Pais
MEDICAMENTOS,1000,ABBOTT,ABBOTT,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
MAT CURACION,1001,ACCU-CHEK,ACCU-CHEK,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
QUIMICOS,1204,AFM AGROS,AFM AGROS,AAG070412F46,,461 598 3267,,,0,0.0000,,,JOSE MANUEL HERRERA SUR,No. 84,,CENTRO,,60600,Apatzingán,Michoacán,México
QUIMICOS,1003,AGUA DESIONIZADA ECOPURA S DE RL DE CV,AGUA DESIONIZADA ECOPURA S DE RL DE CV,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
ABARROTES,1004,AGUSTIN MORALES,AGUSTIN MORALES,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
,1192,ALAN YAHIR PANTOJA( ELECTRICO),ALAN YAHIR PANTOJA( ELECTRICO),XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
QUIMICOS,1005,ALCOHOLERA DEL CENTRO,ALCOHOLERA DEL CENTRO,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
,1195,ALEJANDRO SANCHEZ SANCHEZ,ALEJANDRO SANCHEZ SANCHEZ,SASA791016KP0,,,,,0,0.0000,,,,,,,,,,,
QUIMICOS,1006,ALFA &amp; OMEGA,ALFA &amp; OMEGA, ,,,,,0,0.0000,,,,,,,,,,,
REACTIVOS,1007,ALLOFAM COMERCIALIZADORA SA DE CV,ALLOFAM COMERCIALIZADORA SA DE CV,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
EPP,1008,ALYGER,ALYGER,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
VARIOS,1009,AMAZON,AMAZON,XAXX010101000,,,,,0,0.0000,,,,,,,,,,,
