Output format is aligned.
     schemaname      |         table_name          |                      index_name                       | idx_scan | idx_tup_read | idx_tup_fetch | index_size 
---------------------+-----------------------------+-------------------------------------------------------+----------+--------------+---------------+------------
 pgmq                | a_requisition_outbox_queue  | a_requisition_outbox_queue_pkey                       |        0 |            0 |             0 | 8192 bytes
 pgmq                | a_requisition_outbox_queue  | archived_at_idx_requisition_outbox_queue              |        0 |            0 |             0 | 8192 bytes
 public              | audit_log_archive           | audit_log_archive_company_id_event_name_idx           |        0 |            0 |             0 | 8192 bytes
 public              | audit_log_archive           | audit_log_archive_company_id_timestamp_idx            |        0 |            0 |             0 | 8192 bytes
 public              | audit_log_archive           | audit_log_archive_company_id_timestamp_idx1           |        0 |            0 |             0 | 8192 bytes
 public              | audit_log_archive           | audit_log_archive_pkey                                |        0 |            0 |             0 | 8192 bytes
 public              | audit_log_archive           | audit_log_archive_user_id_idx                         |        0 |            0 |             0 | 8192 bytes
 auth                | audit_log_entries           | audit_logs_instance_id_idx                            |        0 |            0 |             0 | 16 kB
 public              | bind_sync_logs_archive      | bind_sync_logs_archive_company_id_sync_type_idx       |        0 |            0 |             0 | 8192 bytes
 public              | bind_sync_logs_archive      | bind_sync_logs_archive_entity_type_entity_id_idx      |        0 |            0 |             0 | 8192 bytes
 public              | bind_sync_logs_archive      | bind_sync_logs_archive_pkey                           |        0 |            0 |             0 | 8192 bytes
 public              | bind_sync_logs_archive      | bind_sync_logs_archive_status_idx                     |        0 |            0 |             0 | 8192 bytes
 public              | bind_sync_logs_archive      | bind_sync_logs_archive_synced_at_idx                  |        0 |            0 |             0 | 8192 bytes
 storage             | buckets                     | bname                                                 |        0 |            0 |             0 | 16 kB
 storage             | buckets_analytics           | buckets_analytics_pkey                                |        0 |            0 |             0 | 8192 bytes
 auth                | users                       | confirmation_token_idx                                |        0 |            0 |             0 | 16 kB
 auth                | users                       | email_change_token_current_idx                        |        0 |            0 |             0 | 8192 bytes
 auth                | users                       | email_change_token_new_idx                            |        0 |            0 |             0 | 8192 bytes
 auth                | mfa_factors                 | factor_id_created_at_idx                              |        0 |            0 |             0 | 8192 bytes
 auth                | flow_state                  | flow_state_created_at_idx                             |        0 |            0 |             0 | 8192 bytes
 public              | folio_sequences             | folio_sequences_pkey                                  |        0 |            0 |             0 | 8192 bytes
 auth                | identities                  | identities_provider_id_provider_unique                |        0 |            0 |             0 | 16 kB
 public              | audit_log                   | idx_audit_log_company_id_event_name                   |        0 |            0 |             0 | 8192 bytes
 public              | audit_log                   | idx_audit_log_company_id_timestamp                    |        0 |            0 |             0 | 8192 bytes
 auth                | flow_state                  | idx_auth_code                                         |        0 |            0 |             0 | 8192 bytes
 public              | bind_mappings               | idx_bind_mappings_active                              |        0 |            0 |             0 | 8192 bytes
 public              | bind_mappings               | idx_bind_mappings_bind_id                             |        0 |            0 |             0 | 8192 bytes
 public              | bind_mappings               | idx_bind_mappings_supabase_id                         |        0 |            0 |             0 | 8192 bytes
 public              | folio_sequences             | idx_folio_sequences_company_entity                    |        0 |            0 |             0 | 8192 bytes
 public              | integration_queue           | idx_integration_queue_entity                          |        0 |            0 |             0 | 16 kB
 storage             | s3_multipart_uploads        | idx_multipart_uploads_list                            |        0 |            0 |             0 | 8192 bytes
 storage             | objects                     | idx_objects_bucket_id_name                            |        0 |            0 |             0 | 16 kB
 storage             | objects                     | idx_objects_lower_name                                |        0 |            0 |             0 | 16 kB
 public              | products                    | idx_products_company_bind_id                          |        0 |            0 |             0 | 16 kB
 public              | products                    | idx_products_sku_unique_per_company                   |        0 |            0 |             0 | 16 kB
 public              | requisition_items           | idx_requisition_items_product                         |        0 |            0 |             0 | 8192 bytes
 public              | requisition_items           | idx_requisition_items_requisition_active              |        0 |            0 |             0 | 8192 bytes
 public              | requisitions                | idx_requisitions_bind_folio                           |        0 |            0 |             0 | 8192 bytes
 public              | requisition_template_items  | idx_template_items_template_product                   |        0 |            0 |             0 | 8192 bytes
 auth                | flow_state                  | idx_user_id_auth_method                               |        0 |            0 |             0 | 8192 bytes
 realtime            | subscription                | ix_realtime_subscription_entity                       |        0 |            0 |             0 | 8192 bytes
 cron                | job                         | job_pkey                                              |        0 |            0 |             0 | 16 kB
 realtime            | messages_2025_11_06         | messages_2025_11_06_inserted_at_topic_idx             |        0 |            0 |             0 | 8192 bytes
 realtime            | messages_2025_11_06         | messages_2025_11_06_pkey                              |        0 |            0 |             0 | 8192 bytes
 realtime            | messages_2025_11_07         | messages_2025_11_07_inserted_at_topic_idx             |        0 |            0 |             0 | 8192 bytes
 realtime            | messages_2025_11_07         | messages_2025_11_07_pkey                              |        0 |            0 |             0 | 8192 bytes
 realtime            | messages_2025_11_08         | messages_2025_11_08_inserted_at_topic_idx             |        0 |            0 |             0 | 8192 bytes
 realtime            | messages_2025_11_08         | messages_2025_11_08_pkey                              |        0 |            0 |             0 | 8192 bytes
 realtime            | messages_2025_11_09         | messages_2025_11_09_inserted_at_topic_idx             |        0 |            0 |             0 | 8192 bytes
 realtime            | messages_2025_11_09         | messages_2025_11_09_pkey                              |        0 |            0 |             0 | 8192 bytes
 realtime            | messages_2025_11_10         | messages_2025_11_10_inserted_at_topic_idx             |        0 |            0 |             0 | 8192 bytes
 realtime            | messages_2025_11_10         | messages_2025_11_10_pkey                              |        0 |            0 |             0 | 8192 bytes
 realtime            | messages_2025_11_11         | messages_2025_11_11_inserted_at_topic_idx             |        0 |            0 |             0 | 8192 bytes
 realtime            | messages_2025_11_11         | messages_2025_11_11_pkey                              |        0 |            0 |             0 | 8192 bytes
 realtime            | messages_2025_11_12         | messages_2025_11_12_inserted_at_topic_idx             |        0 |            0 |             0 | 8192 bytes
 realtime            | messages_2025_11_12         | messages_2025_11_12_pkey                              |        0 |            0 |             0 | 8192 bytes
 auth                | mfa_challenges              | mfa_challenge_created_at_idx                          |        0 |            0 |             0 | 8192 bytes
 auth                | mfa_factors                 | mfa_factors_last_challenged_at_key                    |        0 |            0 |             0 | 8192 bytes
 auth                | mfa_factors                 | mfa_factors_user_friendly_name_unique                 |        0 |            0 |             0 | 8192 bytes
 auth                | mfa_factors                 | mfa_factors_user_id_idx                               |        0 |            0 |             0 | 8192 bytes
